Name,ASCII,Unicode,Unicode ID
def_eq,==,≜,U+225C
set_in,\in,∈,U+2208
gets,<-,⟵,U+27F5
forall,\A;\forall,∀,U+2200
exists,\E;\exists,∃,U+2203
all_map_to,|->,⟼,U+27FC
maps_to,->,⟶,U+27F6
langle_bracket,<<,〈,U+3008
rangle_bracket,>>,〉,U+3009
rangle_bracket_sub,>>_,〉_,U+3009;U+005F
case_box,[],□,U+25A1
case_arrow,->,⟶,U+27F6
label_as,::,∷,U+2237
lnot,~;\lnot;\neg,¬,U+00AC
always,[],□,U+25A1
eventually,<>,⋄,U+22C4
implies,=>,⟹,U+27F9
plus_arrow,-+->,⇸,U+21F8
equiv,\equiv,≡,U+2261
iff,<=>,⟺,U+27FA
leads_to,~>,⇝,U+21DD
land,/\;\land,∧,U+2227
lor,\/;\lor,∨,U+2228
assign,:=,≔,U+2254
bnf_rule,::=,⩴,U+2A74
neq,/=;#,≠,U+2260
leq,<=;=<;\leq,≤,U+2264
geq,>=;\geq,≥,U+2265
approx,\approx,≈,U+2248
rs_ttile,|-,⊢,U+22A2
rd_ttile,|=,⊨,U+22A8
ls_ttile,-|,⊣,U+22A3
ld_ttile,=|,⫤,U+2AE4
asymp,\asymp,≍,U+224D
cong,\cong,≅,U+2245
doteq,\doteq,≐,U+2250
gg,\gg,≫,U+226B
ll,\ll,≪,U+226A
in,\in,∈,U+2208
notin,\notin,∉,U+2209
prec,\prec,≺,U+227A
succ,\succ,≻,U+227B
preceq,\preceq,⪯,U+2AAF
succeq,\succeq,⪰,U+2AB0
propto,\propto,∝,U+221D
sim,\sim,∼,U+223C
simeq,\simeq,≃,U+2243
sqsubset,\sqsubset,⊏,U+228F
sqsupset,\sqsupset,⊐,U+2290
sqsubseteq,\sqsubseteq,⊑,U+2291
sqsupseteq,\sqsupseteq,⊒,U+2292
subset,\subset,⊂,U+2282
supset,\supset,⊃,U+2283
subseteq,\subseteq,⊆,U+2286
supseteq,\supseteq,⊇,U+2287
cap,\cap,∩,U+2229
cap,\intersect,∩,U+2229
cup,\cup,∪,U+222A
cup,\union,∪,U+222A
dots_2,..,‥,U+2025
dots_3,...,…,U+2026
oplus,(+);\oplus,⊕,U+2295
ominus,(-);\ominus,⊖,U+2296
vertvert,||,‖,U+2016
odot,(.);\odot,⊙,U+2299
oslash,(/);\oslash,⊘,U+2298
otimes,(\X);\otimes,⊗,U+2297
bigcirc,\bigcirc,◯,U+25EF
bullet,\bullet,●,U+25CF
div,\div,÷,U+00F7
circ,\o;\circ,∘,U+221
star,\star,⋆,U+22C6
excl,!!,‼,U+203C
qq,??,⁇,U+2047
sqcap,\sqcap,⊓,U+2293
sqcup,\sqcup,⊔,U+2294
uplus,\uplus,⊎,U+228E
times,\X;\times,×,U+00D7
wr,\wr,≀,U+2240
cdot,\cdot,⋅,U+22C5
sup_plus,^+,⁺,U+207A
